,,Mg/Ca,Mg/Ca,Mg/Ca,d18O,d18O,d18O,depthrange,depthrange,ddate,sal,sal,sal,d18Ow,d18Ow,d18Ow,Ctemp_min,Ctemp_min,Ctemp_min,Ctemp_max,Ctemp_max,Ctemp_max,Ctemp_mid,Ctemp_mid,Ctemp_mid
size_fraction,,250-350,350-500,500-1000,250-350,350-500,500-1000,min,max,,min,max,mid,min,max,mid,250-350,350-500,500-1000,250-350,350-500,500-1000,250-350,350-500,500-1000
,Date,,,,,,,,,,,,,,,,,,,,,,,,
G. conglobatus,1978-11-01,,2.64,,,-0.72,,50.0,100.0,3226,36.53+/-0.09,36.53+/-0.09,36.52+/-0.09,1.12+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,24.01+/-0.24,nan+/-nan,nan+/-nan,24.01+/-0.24,nan+/-nan,nan+/-nan,24.01+/-0.24,nan+/-nan
G. conglobatus,1979-06-01,,2.39,,,-0.49,,50.0,100.0,3438,36.52+/-0.09,36.52+/-0.09,36.52+/-0.09,1.12+/-0.05,1.12+/-0.05,1.12+/-0.05,nan+/-nan,22.93+/-0.23,nan+/-nan,nan+/-nan,22.93+/-0.23,nan+/-nan,nan+/-nan,22.93+/-0.23,nan+/-nan
G. conglobatus,1979-11-01,,5.29,,,-0.24,,50.0,100.0,3591,36.52+/-0.09,36.52+/-0.09,36.52+/-0.09,1.12+/-0.05,1.11+/-0.05,1.11+/-0.05,nan+/-nan,21.77+/-0.23,nan+/-nan,nan+/-nan,21.77+/-0.23,nan+/-nan,nan+/-nan,21.76+/-0.23,nan+/-nan
G. conglobatus,1981-11-01,,2.55,,,-0.03,,50.0,100.0,4322,36.50+/-0.09,36.50+/-0.09,36.50+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.76+/-0.23,nan+/-nan,nan+/-nan,20.76+/-0.23,nan+/-nan,nan+/-nan,20.76+/-0.23,nan+/-nan
G. conglobatus,1982-11-01,,3.07,,,-0.32,,50.0,100.0,4687,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,22.07+/-0.23,nan+/-nan,nan+/-nan,22.07+/-0.23,nan+/-nan,nan+/-nan,22.06+/-0.23,nan+/-nan
G. conglobatus,1983-10-01,,3.02,,,-0.03,,50.0,100.0,5021,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,20.72+/-0.23,nan+/-nan,nan+/-nan,20.73+/-0.23,nan+/-nan,nan+/-nan,20.72+/-0.23,nan+/-nan
G. conglobatus,1983-12-01,,2.95,,,-0.13,,50.0,100.0,5082,36.49+/-0.09,36.49+/-0.09,36.49+/-0.09,1.10+/-0.05,1.10+/-0.05,1.10+/-0.05,nan+/-nan,21.19+/-0.23,nan+/-nan,nan+/-nan,21.19+/-0.23,nan+/-nan,nan+/-nan,21.18+/-0.23,nan+/-nan
G. crassiformis,1978-07-01,,1.63,,,0.07,,500.0,800.0,3103,36.25+/-0.09,35.44+/-0.09,35.85+/-0.09,0.96+/-0.05,0.51+/-0.05,0.74+/-0.05,nan+/-nan,19.66+/-0.23,nan+/-nan,nan+/-nan,17.64+/-0.22,nan+/-nan,nan+/-nan,18.67+/-0.22,nan+/-nan
G. crassiformis,1980-07-01,,1.55,,,0.79,,500.0,800.0,3834,36.24+/-0.09,35.42+/-0.09,35.84+/-0.09,0.96+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,16.44+/-0.22,nan+/-nan,nan+/-nan,14.49+/-0.21,nan+/-nan,nan+/-nan,15.48+/-0.22,nan+/-nan
G. crassiformis,1980-09-01,,1.91,,,0.78,,500.0,800.0,3896,36.23+/-0.09,35.42+/-0.09,35.84+/-0.09,0.95+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,16.48+/-0.22,nan+/-nan,nan+/-nan,14.53+/-0.22,nan+/-nan,nan+/-nan,15.52+/-0.22,nan+/-nan
